what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1356616163934
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356616191933
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356616229453
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1356616230897
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356616234774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356616249354
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1356616370204
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1356616372710
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356616407438
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356616474502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356616501418
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356616627576
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356616631373
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356617036108
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1356617066350
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1356617074861
started,bundle,org.eclipse.wst.html.core,1.1.404.v201101190004,"org.eclipse.wst.html.core",1356617074922
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1356617075024
started,bundle,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.ui",1356617075121
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1356617075166
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.304.v201012160349,"org.eclipse.wst.jsdt.web.ui",1356617075184
started,bundle,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.ui",1356617075233
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1356617075259
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.304.v201102160550,"org.eclipse.wst.jsdt.web.core",1356617075274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356617075518
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356617089678
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1356617089937
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1356617090064
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1356617090440
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1356617104218
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1356617117149
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356617121694
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356617157164
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1356617177300
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1356617181795
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1356617182637
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1356617184011
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1356617185185
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1356617186633
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1356617208901
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1356617214170
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1356617214413
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1356617214745
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1356617219049
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.2.v201101042130,"org.eclipse.jst.jsf.facelet.core",1356617264789
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356617344014
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356617384602
